wd_id	emp_hash	wd_start	wd_stop	shift_id	icecream_van_id	area_id	icecream_van_zone_id	shift_start	shift_stop
104613	2830a36a6fd7071dcccd425ce5caf353bbf2dc2b19d11e9d8d04c43b9662399e	2026-04-30 10:11:47	2026-04-30 22:03:27	167871	103	10	12	2026-04-30 10:13:27	2026-04-30 22:03:27
104616	96031986ebdf990bd31fb937b482a4e55adb4c39f4f24d2927ac64f50290e84f	2026-04-30 10:40:46	2026-04-30 19:55:14	167875	35	10	6	2026-04-30 10:43:38	2026-04-30 15:15:00
104622	b9008da6080ca928ee916ec4701c23335ebbe17a60f7bc875f3557af2b53b145	2026-04-30 10:56:12	2026-04-30 21:56:51	167880	34	10	21	2026-04-30 10:58:03	2026-04-30 18:23:32
104629	f366503df818569edb69b531ebae55cbae0b2963aa6eff24c7ee7475ff90b03f	2026-04-30 12:26:11	2026-04-30 20:06:39	167893	9	10	23	2026-04-30 12:28:55	2026-04-30 20:06:39
104630	24327c1219ac588c39066c061960e70ea2dafddd52890c2448fd3f22fa25ac8e	2026-04-30 12:29:50	2026-04-30 20:47:40	167894	91	10	11	2026-04-30 12:31:33	2026-04-30 15:13:09
104632	604064d1fb81b4325fd74b22c23ccfe5f9e25f28b3ddfb20d029eb57a4ae77da	2026-04-30 12:32:57	2026-04-30 20:21:44	167896	13	10	1	2026-04-30 12:35:00	2026-04-30 17:30:35
104631	81410de9cd1f635cd7cef0fdeb56cb5c75d4d8aff958465c0e0e89cec975540a	2026-04-30 12:31:57	2026-04-30 21:21:41	167898	11	10	4	2026-04-30 12:35:39	2026-04-30 17:23:28
104633	25f56f55a7dea59d1ac6d9bc3137ef274b21acf26a27e5e0593eba3bdf898722	2026-04-30 12:33:15	2026-04-30 21:39:56	167899	14	10	30	2026-04-30 12:37:13	2026-04-30 18:30:37
104637	8fc4ca6fe6ff7af0d9d3dd0cbb5f0bde24f3ace4bada8c8de7d4197f34135521	2026-04-30 12:53:58	2026-04-30 21:56:18	167902	8	10	7	2026-04-30 12:57:27	2026-04-30 16:40:39
104638	da7ec596219f4199e54d663324526a14bfc8d5258af04a54a22d730842a5af5c	2026-04-30 12:55:42	2026-04-30 20:09:36	167903	6	10	3	2026-04-30 13:00:45	2026-04-30 16:13:06
104639	65e0f53c429c93d21ce0ec7fc173afcbd9021e071a22d2bf2b9786736e0c8e94	2026-04-30 13:01:21	2026-04-30 21:16:38	167906	7	10	29	2026-04-30 13:06:16	2026-04-30 21:16:38
104641	70f9866f3ee449afebf4ca314a4cbf9934aed192ea00772601f8fa04d2fb3ab5	2026-04-30 13:05:57	2026-04-30 21:11:54	167907	5	10	24	2026-04-30 13:07:38	2026-04-30 17:31:15
104642	84d4b6ad9d79be2ac6ab66a6a4736695389363c942a856ecf57c1a633f03659f	2026-04-30 13:09:34	2026-04-30 20:56:07	167909	10	10	17	2026-04-30 13:11:46	2026-04-30 20:56:07
104643	ef9374ab33d732aee02f5ac06ba62e71aafc855a742caa548adb13b812d632d7	2026-04-30 13:10:09	2026-04-30 20:25:53	167910	3	10	14	2026-04-30 13:12:56	2026-04-30 17:42:59
104647	b0cbe1020bacda2697936480f41a21df99c020414f25067b78a2c8f162d83a79	2026-04-30 13:26:02	2026-04-30 21:48:45	167914	1	10	13	2026-04-30 13:28:36	2026-04-30 16:03:53
104630	24327c1219ac588c39066c061960e70ea2dafddd52890c2448fd3f22fa25ac8e	2026-04-30 12:29:50	2026-04-30 20:47:40	167927	91	10	11	2026-04-30 15:19:02	2026-04-30 16:24:25
104616	96031986ebdf990bd31fb937b482a4e55adb4c39f4f24d2927ac64f50290e84f	2026-04-30 10:40:46	2026-04-30 19:55:14	167934	35	10	6	2026-04-30 15:50:49	2026-04-30 15:53:34
104616	96031986ebdf990bd31fb937b482a4e55adb4c39f4f24d2927ac64f50290e84f	2026-04-30 10:40:46	2026-04-30 19:55:14	167935	35	10	6	2026-04-30 15:53:37	2026-04-30 16:34:11
104647	b0cbe1020bacda2697936480f41a21df99c020414f25067b78a2c8f162d83a79	2026-04-30 13:26:02	2026-04-30 21:48:45	167944	1	10	13	2026-04-30 16:32:58	2026-04-30 21:48:45
104630	24327c1219ac588c39066c061960e70ea2dafddd52890c2448fd3f22fa25ac8e	2026-04-30 12:29:50	2026-04-30 20:47:40	167946	91	10	11	2026-04-30 16:39:23	2026-04-30 20:47:40
104638	da7ec596219f4199e54d663324526a14bfc8d5258af04a54a22d730842a5af5c	2026-04-30 12:55:42	2026-04-30 20:09:36	167947	6	10	3	2026-04-30 16:46:45	2026-04-30 20:09:36
104616	96031986ebdf990bd31fb937b482a4e55adb4c39f4f24d2927ac64f50290e84f	2026-04-30 10:40:46	2026-04-30 19:55:14	167948	35	10	6	2026-04-30 16:46:50	2026-04-30 19:55:14
