call_id	shift_id	icecream_van_id	latitude	longitude	latitude_gps	longitude_gps	nr_of_people	address_zipcode	address_city	address_country	deadline	was_close	created_at	updated_at
656511	NULL	NULL	51.123	4.114	NULL	NULL	3-4	9260	Waasmunster	België	2026-05-02 14:00:00	0	2026-05-02 08:49:35	2026-05-02 08:49:35
656515	NULL	NULL	51.175	4.122	51.175	4.122	1-2	9100	Sint-Niklaas	België	2026-05-02 12:00:00	0	2026-05-02 10:02:53	2026-05-02 10:02:53
656526	NULL	NULL	51.175	4.122	51.175	4.122	1-2	9100	Sint-Niklaas	België	2026-05-02 12:00:00	0	2026-05-02 11:04:19	2026-05-02 11:04:19
656530	NULL	NULL	51.177	4.135	51.177	4.135	3-4	9100	Sint-Niklaas	België	2026-05-02 11:30:00	1	2026-05-02 11:09:18	2026-05-02 11:09:18
656532	NULL	NULL	51.047	4.203	NULL	NULL	3-4	2890	Sint-Amands	België	2026-05-02 14:00:00	0	2026-05-02 11:11:32	2026-05-02 11:11:32
656533	NULL	NULL	51.179	4.138	51.179	4.14	5-6	9100	Sint-Niklaas	België	2026-05-02 11:30:00	1	2026-05-02 11:14:01	2026-05-02 11:14:01
656539	168150	11	51.22	4.191	51.213	4.252	3-4	9120	Beveren Kruibeke Zwijndrecht (Vrasene)	België	2026-05-02 12:30:00	1	2026-05-02 11:20:59	2026-05-02 11:22:03
656542	NULL	NULL	51.062	4.037	51.062	4.037	1-2	9240	Zele	België	2026-05-02 11:30:00	1	2026-05-02 11:23:07	2026-05-02 11:23:07
656545	168163	13	51.113	4.001	51.113	4.001	1-2	9160	Lokeren	België	2026-05-02 11:30:00	1	2026-05-02 11:23:27	2026-05-02 11:28:51
656549	168150	11	51.22	4.189	51.22	4.189	1-2	9120	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 11:30:00	1	2026-05-02 11:25:30	2026-05-02 11:29:23
656551	168133	103	51.108	3.963	NULL	NULL	3-4	9160	Lokeren	België	2026-05-02 17:00:00	0	2026-05-02 11:26:48	2026-05-02 14:13:02
656568	NULL	NULL	51.08	4.286	51.08	4.286	3-4	2870	Puurs-Sint-Amands	België	2026-05-02 14:00:00	0	2026-05-02 11:39:05	2026-05-02 11:39:05
656578	168186	14	51.156	4.3	NULL	NULL	9-10	9150	Kruibeke	België	2026-05-02 12:30:00	0	2026-05-02 11:49:31	2026-05-02 12:13:33
656579	NULL	NULL	51.171	4.148	51.171	4.148	1-2	9100	Sint-Niklaas	België	2026-05-02 12:30:00	1	2026-05-02 11:49:46	2026-05-02 11:49:46
656582	NULL	NULL	51.155	4.14	51.156	4.141	3-4	9100	Sint-Niklaas	België	2026-05-02 13:00:00	0	2026-05-02 11:50:58	2026-05-02 11:50:58
656583	NULL	NULL	51.069	4.081	NULL	NULL	1-2	9240	Zele	België	2026-05-02 15:00:00	0	2026-05-02 11:52:24	2026-05-02 11:52:24
656585	NULL	NULL	51.179	4.146	51.179	4.146	3-4	9100	Sint-Niklaas	België	2026-05-02 13:30:00	1	2026-05-02 11:53:06	2026-05-02 11:53:06
656593	NULL	NULL	51.116	4.163	51.116	4.163	3-4	9140	Temse	België	2026-05-02 12:00:00	0	2026-05-02 12:00:05	2026-05-02 12:00:05
656596	168188	5	51.046	4.098	51.046	4.098	3-4	9200	Dendermonde	België	2026-05-02 14:30:00	0	2026-05-02 12:04:19	2026-05-02 12:44:22
656598	168213	11	51.215	4.093	NULL	NULL	10+	9170	Sint-Gillis-Waas	Belgium	2026-05-02 13:45:00	0	2026-05-02 12:05:06	2026-05-02 15:11:07
656603	168189	10	51.06	4.037	51.06	4.037	1-2	9240	Zele	België	2026-05-02 12:30:00	1	2026-05-02 12:07:27	2026-05-02 12:30:25
656605	NULL	NULL	51.115	4.163	51.115	4.162	1-2	9140	Temse	België	2026-05-02 12:30:00	0	2026-05-02 12:08:02	2026-05-02 12:08:02
656608	168197	6	50.998	4.147	50.998	4.147	3-4	9280	Lebbeke	België	2026-05-02 14:00:00	1	2026-05-02 12:11:01	2026-05-02 12:13:12
656615	168198	8	51.125	4.273	51.125	4.273	1-2	9140	Temse	België	2026-05-02 15:00:00	0	2026-05-02 12:15:52	2026-05-02 12:21:38
656618	NULL	NULL	51.132	4.204	51.132	4.204	3-4	9140	Temse	België	2026-05-02 13:30:00	1	2026-05-02 12:17:41	2026-05-02 12:17:41
656621	NULL	NULL	51.091	4.252	NULL	NULL	10+	2880	Bornem	België	2026-05-02 14:00:00	0	2026-05-02 12:22:23	2026-05-02 12:22:23
656622	NULL	NULL	51.061	4.035	51.061	4.035	3-4	9240	Zele	België	2026-05-02 12:30:00	1	2026-05-02 12:23:02	2026-05-02 12:23:02
656628	NULL	NULL	51.218	4.263	NULL	NULL	1-2	9120	Beveren	België	2026-05-02 14:45:00	0	2026-05-02 12:26:30	2026-05-02 12:26:30
656629	NULL	NULL	51.109	4.011	51.109	4.011	3-4	9160	Lokeren	België	2026-05-02 12:30:00	1	2026-05-02 12:26:54	2026-05-02 12:26:54
656630	NULL	NULL	51.059	4.015	51.059	4.015	7-8	9240	Zele	België	2026-05-02 15:00:00	0	2026-05-02 12:27:34	2026-05-02 12:27:34
656632	NULL	NULL	51.126	3.98	51.126	3.98	5-6	9160	Lokeren	België	2026-05-02 15:00:00	0	2026-05-02 12:28:24	2026-05-02 12:28:24
656633	NULL	NULL	51.1	4.245	51.1	4.245	3-4	2880	Bornem	België	2026-05-02 14:00:00	0	2026-05-02 12:30:08	2026-05-02 12:30:08
656636	NULL	NULL	51.104	3.905	51.104	3.905	1-2	9160	Lokeren	België	2026-05-02 14:30:00	0	2026-05-02 12:31:42	2026-05-02 12:31:42
656638	168133	103	51.091	3.984	51.091	3.984	3-4	9160	Lokeren	België	2026-05-02 13:00:00	1	2026-05-02 12:32:39	2026-05-02 12:33:41
656639	168133	103	51.091	3.986	51.091	3.986	3-4	9160	Lokeren	België	2026-05-02 13:00:00	1	2026-05-02 12:33:07	2026-05-02 12:45:18
656641	168189	10	51.066	3.988	NULL	NULL	3-4	9240	Zele	België	2026-05-02 18:00:00	0	2026-05-02 12:34:12	2026-05-02 15:35:59
656646	NULL	NULL	51.175	4.122	51.175	4.122	1-2	9100	Sint-Niklaas	België	2026-05-02 13:00:00	0	2026-05-02 12:34:53	2026-05-02 12:34:53
656654	NULL	NULL	51.106	3.964	51.106	3.964	1-2	9160	Lokeren	België	2026-05-02 13:30:00	0	2026-05-02 12:38:02	2026-05-02 12:38:02
656658	NULL	NULL	51.062	4.038	51.062	4.038	5-6	9240	Zele	België	2026-05-02 13:00:00	1	2026-05-02 12:39:15	2026-05-02 12:39:15
656661	NULL	NULL	51.017	4.112	NULL	NULL	3-4	9200	Dendermonde	België	2026-05-02 13:00:00	0	2026-05-02 12:42:05	2026-05-02 12:42:05
656662	168188	5	51.057	4.086	51.057	4.086	3-4	9200	Dendermonde	België	2026-05-02 14:45:00	0	2026-05-02 12:42:16	2026-05-02 13:04:29
656666	168189	10	51.06	4.031	51.06	4.031	1-2	9240	Zele	België	2026-05-02 13:15:00	1	2026-05-02 12:44:45	2026-05-02 12:45:33
656669	168189	10	51.061	4.03	51.061	4.03	1-2	9240	Zele	België	2026-05-02 13:00:00	1	2026-05-02 12:45:50	2026-05-02 12:46:53
656671	NULL	NULL	51.171	4.28	51.171	4.28	1-2	9150	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 13:30:00	0	2026-05-02 12:46:43	2026-05-02 12:46:43
656680	NULL	NULL	51.069	4.027	51.069	4.027	5-6	9240	Zele	België	2026-05-02 15:30:00	1	2026-05-02 12:53:05	2026-05-02 12:53:05
656686	NULL	NULL	51.182	4.163	NULL	NULL	1-2	9100	Sint-Niklaas	België	2026-05-02 14:00:00	1	2026-05-02 12:57:51	2026-05-02 12:57:51
656693	NULL	NULL	51.102	3.997	NULL	NULL	3-4	9160	lokeren	België	2026-05-02 13:45:00	1	2026-05-02 13:01:48	2026-05-02 13:01:48
656695	NULL	NULL	51.123	4.114	NULL	NULL	3-4	9260	Waasmunster	België	2026-05-02 16:00:00	0	2026-05-02 13:02:20	2026-05-02 13:02:20
656700	168194	34	51.174	4.127	51.174	4.127	3-4	9100	Sint-Niklaas	België	2026-05-02 13:30:00	1	2026-05-02 13:03:52	2026-05-02 13:13:55
656701	168195	102	51.219	4.337	NULL	NULL	1-2	2070	Zwijndrecht	België	2026-05-02 16:00:00	0	2026-05-02 13:04:03	2026-05-02 13:09:58
656706	NULL	NULL	51.034	4.086	51.034	4.086	1-2	9200	Dendermonde	België	2026-05-02 13:30:00	0	2026-05-02 13:07:08	2026-05-02 13:07:08
656708	168213	11	51.215	4.093	NULL	NULL	10+	9170	Sint-Gillis-Waas	Belgium	2026-05-02 13:45:00	0	2026-05-02 13:07:25	2026-05-02 15:11:09
656710	NULL	NULL	51.166	4.118	NULL	NULL	1-2	9111	Belsele	België	2026-05-02 14:30:00	0	2026-05-02 13:08:46	2026-05-02 13:08:46
656712	NULL	NULL	51.072	4.025	51.072	4.026	3-4	9240	Zele	België	2026-05-02 13:30:00	0	2026-05-02 13:10:02	2026-05-02 13:10:02
656714	168195	102	51.214	4.317	51.214	4.317	1-2	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-02 16:00:00	0	2026-05-02 13:10:34	2026-05-02 14:08:58
656722	168188	5	51.043	4.103	51.043	4.103	3-4	9200	Dendermonde	België	2026-05-02 13:45:00	0	2026-05-02 13:15:26	2026-05-02 14:16:17
