call_id	shift_id	icecream_van_id	latitude	longitude	latitude_gps	longitude_gps	nr_of_people	address_zipcode	address_city	address_country	deadline	was_close	created_at	updated_at
654111	NULL	NULL	51.127	4.223	51.114	4.152	3-4	9140	Temse	België	2026-05-01 12:30:00	0	2026-05-01 08:30:50	2026-05-01 08:30:50
654113	167993	34	51.162	4.15	51.162	4.149	10+	9100	Sint-Niklaas	België	2026-05-01 12:00:00	0	2026-05-01 09:17:30	2026-05-01 09:50:36
654120	NULL	NULL	51.092	4.108	51.092	4.108	1-2	9220	Hamme	België	2026-05-01 11:30:00	0	2026-05-01 10:26:36	2026-05-01 10:26:36
654125	167992	103	51.094	3.997	51.094	3.997	3-4	9160	Lokeren	België	2026-05-01 13:30:00	1	2026-05-01 10:45:42	2026-05-01 10:53:47
654126	168008	101	51.198	4.325	51.198	4.325	3-4	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 16:00:00	0	2026-05-01 10:47:08	2026-05-01 11:01:59
654127	168008	101	51.197	4.327	51.197	4.327	3-4	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 13:00:00	0	2026-05-01 10:50:32	2026-05-01 11:16:16
654128	NULL	NULL	51.22	4.339	51.22	4.339	1-2	2070	Beveren-Kruibeke-Zwijndrecht	België	2026-05-01 11:00:00	0	2026-05-01 10:51:02	2026-05-01 10:51:02
654131	NULL	NULL	51.221	4.098	51.221	4.098	10+	9170	Sint-Gillis-Waas	België	2026-05-01 14:15:00	0	2026-05-01 10:54:35	2026-05-01 10:54:35
654133	167992	103	51.093	4	51.093	4	1-2	9160	Lokeren	België	2026-05-01 13:30:00	1	2026-05-01 10:59:49	2026-05-01 11:06:37
654135	168001	14	51.099	4.125	NULL	NULL	3-4	9220	Hamme	België	2026-05-01 15:00:00	0	2026-05-01 11:00:23	2026-05-01 11:16:28
654140	167993	34	51.166	4.154	51.166	4.154	1-2	9100	Sint-Niklaas	België	2026-05-01 11:30:00	1	2026-05-01 11:05:12	2026-05-01 11:09:32
654141	NULL	NULL	51.168	4.171	51.169	4.172	1-2	9100	Sint-Niklaas	België	2026-05-01 13:00:00	0	2026-05-01 11:05:20	2026-05-01 11:05:20
654142	NULL	NULL	51.171	4.148	51.171	4.148	1-2	9100	Sint-Niklaas	België	2026-05-01 12:00:00	0	2026-05-01 11:05:23	2026-05-01 11:05:23
