reservation_id	icecream_van_id	icecream_van_schedule_id	menu_id	status	datetime_start	datetime_stop	address_zipcode	address_city	address_country	latitude	longitude	travel_expense	minimum_consumption	callout_charge	allow_non_payment	payment_per_person	nr_of_people	reservation_type
33273	103	84423	59	EXECUTED	2026-05-02 08:30:00	2026-05-02 09:15:00	9160	Lokeren	België	51.183	3.961	47.090000000000000	90.000000000000000	0.000000000000000	0	0	60	EVENT_PAID_BY_HOST
32378	35	84424	1	EXECUTED	2026-05-02 13:00:00	2026-05-02 13:45:00	9940	Evergem	België	51.178	3.739	77.010000000000000	90.000000000000000	0.000000000000000	0	0	30	EVENT_PAID_BY_HOST
33735	103	84423	56	EXECUTED	2026-05-02 13:30:00	2026-05-02 14:30:00	9160	Lokeren	België	51.154	3.991	18.510000000000000	120.000000000000000	0.000000000000000	0	0	40	EVENT_PAID_BY_HOST
33471	101	84425	1	EXECUTED	2026-05-02 13:30:00	2026-05-02 14:00:00	9170	Sint-Gillis-Waas	België	51.252	4.089	19.490000000000000	60.000000000000000	0.000000000000000	0	0	20	EVENT_PAID_BY_HOST
33771	102	77900	57	EXECUTED	2026-05-02 13:45:00	2026-05-02 14:30:00	9120	Beveren-Kruibeke-Zwijndrecht	België	51.216	4.258	27.000000000000000	90.000000000000000	0.000000000000000	0	0	40	EVENT_PAID_BY_HOST
33268	6	85544	1	EXECUTED	2026-05-02 14:00:00	2026-05-02 15:00:00	9280	Lebbeke	België	50.982	4.089	63.660000000000000	120.000000000000000	0.000000000000000	0	0	30	EVENT_PAID_BY_HOST
32193	13	77907	56	EXECUTED	2026-05-02 14:00:00	2026-05-02 14:45:00	9160	Lokeren	België	51.096	3.999	33.660000000000000	90.000000000000000	0.000000000000000	0	0	30	EVENT_PAID_BY_HOST
32159	34	77904	56	EXECUTED	2026-05-02 14:00:00	2026-05-02 15:00:00	9100	Sint-Niklaas	België	51.161	4.179	9.720000000000000	120.000000000000000	0.000000000000000	0	0	40	EVENT_PAID_BY_HOST
33944	14	77905	56	EXECUTED	2026-05-02 14:30:00	2026-05-02 15:15:00	2830	Willebroek	België	51.056	4.352	57.420000000000000	90.000000000000000	0.000000000000000	0	0	30	EVENT_PAID_BY_HOST
33780	103	84423	1	EXECUTED	2026-05-02 14:45:00	2026-05-02 15:45:00	9160	Lokeren	België	51.092	4.002	35.400000000000000	120.000000000000000	0.000000000000000	0	0	40	EVENT_PAID_BY_HOST
32224	10	77895	57	EXECUTED	2026-05-02 15:00:00	2026-05-02 16:00:00	9160	Lokeren	België	51.088	3.963	44.880000000000000	120.000000000000000	0.000000000000000	0	0	40	EVENT_PAID_BY_HOST
33472	11	77894	57	CANCELED	2026-05-02 15:00:00	2026-05-02 15:30:00	9200	Grembergen	België	51.058	4.11	33.210000000000000	60.000000000000000	0.000000000000000	0	0	20	EVENT_PAID_BY_HOST
33185	101	84425	1	EXECUTED	2026-05-02 15:30:00	2026-05-02 16:30:00	9100	Sint-Niklaas	België	51.14	4.162	0.000000000000000	120.000000000000000	0.000000000000000	0	0	70	EVENT_PAID_BY_HOST
33184	34	77904	1	EXECUTED	2026-05-02 15:30:00	2026-05-02 16:30:00	9100	Sint-Niklaas	België	51.14	4.162	0.000000000000000	120.000000000000000	0.000000000000000	0	0	35	EVENT_PAID_BY_HOST
32609	102	77900	57	EXECUTED	2026-05-02 15:30:00	2026-05-02 16:15:00	9120	Beveren-Kruibeke-Zwijndrecht	België	51.222	4.258	24.760000000000000	90.000000000000000	0.000000000000000	0	0	40	EVENT_PAID_BY_HOST
33876	35	84424	56	EXECUTED	2026-05-02 16:00:00	2026-05-02 16:30:00	9100	Sint-Niklaas	België	51.183	4.135	5.310000000000000	60.000000000000000	0.000000000000000	0	0	20	EVENT_PAID_BY_HOST
32428	13	77907	56	EXECUTED	2026-05-02 16:30:00	2026-05-02 17:30:00	9160	Lokeren	België	51.088	3.966	42.800000000000000	120.000000000000000	0.000000000000000	0	0	50	EVENT_PAID_BY_HOST
33779	103	84423	1	EXECUTED	2026-05-02 17:00:00	2026-05-02 18:30:00	9250	Waasmunster	België	51.123	4.102	12.130000000000000	180.000000000000000	0.000000000000000	0	0	60	EVENT_PAID_BY_HOST
32926	14	77905	56	EXECUTED	2026-05-02 18:00:00	2026-05-02 19:15:00	2540	Hove	België	51.145	4.466	95.720000000000000	150.000000000000000	0.000000000000000	0	0	60	EVENT_PAID_BY_HOST
33661	101	84425	57	EXECUTED	2026-05-02 18:30:00	2026-05-02 19:00:00	9100	Sint-Niklaas	België	51.174	4.122	2.530000000000000	60.000000000000000	0.000000000000000	0	0	30	EVENT_PAID_BY_HOST
33396	35	84424	57	EXECUTED	2026-05-02 19:00:00	2026-05-02 19:45:00	9140	Temse	België	51.125	4.278	39.600000000000000	90.000000000000000	0.000000000000000	0	0	50	EVENT_PAID_BY_HOST
33908	102	77900	1	EXECUTED	2026-05-02 19:45:00	2026-05-02 20:15:00	9120	Beveren-Kruibeke-Zwijndrecht	België	51.225	4.254	25.070000000000000	60.000000000000000	0.000000000000000	0	0	10	EVENT_PAID_BY_HOST
