episode,reward,eps,buffer_size
1,96.00,1.000,66
2,260.00,0.995,132
3,113.00,0.990,198
4,195.00,0.985,264
5,120.00,0.980,330
6,194.00,0.975,396
7,68.00,0.970,462
8,192.00,0.965,528
9,107.00,0.960,594
10,241.00,0.955,660
11,108.00,0.950,726
12,197.00,0.945,792
13,111.00,0.940,858
14,215.00,0.935,924
15,94.00,0.930,990
16,201.00,0.925,1056
17,92.00,0.920,1122
18,230.00,0.915,1188
19,139.00,0.910,1254
20,246.00,0.905,1320
21,89.00,0.900,1386
22,232.00,0.895,1452
23,131.00,0.890,1518
24,256.00,0.885,1584
25,125.00,0.880,1650
26,237.00,0.875,1716
27,95.00,0.870,1782
28,231.00,0.865,1848
29,100.00,0.860,1914
30,248.00,0.855,1980
31,104.00,0.850,2046
32,210.00,0.845,2112
33,105.00,0.840,2178
34,209.00,0.835,2244
35,110.00,0.830,2310
36,219.00,0.825,2376
37,114.00,0.820,2442
38,249.00,0.815,2508
39,107.00,0.810,2574
40,232.00,0.805,2640
41,120.00,0.800,2706
42,204.00,0.795,2772
43,126.00,0.790,2838
44,243.00,0.785,2904
45,107.00,0.780,2970
46,195.00,0.775,3036
47,113.00,0.770,3102
48,242.00,0.765,3168
49,109.00,0.760,3234
50,262.00,0.755,3300
51,95.00,0.750,3366
52,171.00,0.745,3432
53,92.00,0.740,3498
54,206.00,0.735,3564
55,121.00,0.730,3630
56,271.00,0.725,3696
57,123.00,0.720,3762
58,234.00,0.715,3828
59,124.00,0.710,3894
60,269.00,0.705,3960
61,104.00,0.700,4026
62,243.00,0.695,4092
63,141.00,0.690,4158
64,216.00,0.685,4224
65,102.00,0.680,4290
66,242.00,0.675,4356
67,109.00,0.670,4422
68,251.00,0.665,4488
69,104.00,0.660,4554
70,262.00,0.655,4620
71,115.00,0.650,4686
72,221.00,0.645,4752
73,123.00,0.640,4818
74,256.00,0.635,4884
75,121.00,0.630,4950
76,236.00,0.625,5016
77,100.00,0.620,5082
78,241.00,0.615,5148
79,117.00,0.610,5214
80,258.00,0.605,5280
81,98.00,0.600,5346
82,204.00,0.595,5412
83,149.00,0.590,5478
84,253.00,0.585,5544
85,99.00,0.580,5610
86,271.00,0.575,5676
87,113.00,0.570,5742
88,256.00,0.565,5808
89,119.00,0.560,5874
90,257.00,0.555,5940
91,102.00,0.550,6006
92,235.00,0.545,6072
93,119.00,0.540,6138
94,256.00,0.535,6204
95,113.00,0.530,6270
96,254.00,0.525,6336
97,114.00,0.520,6402
98,268.00,0.515,6468
99,123.00,0.510,6534
100,278.00,0.505,6600
101,100.00,0.500,6666
102,245.00,0.495,6732
103,117.00,0.490,6798
104,275.00,0.485,6864
105,131.00,0.480,6930
106,263.00,0.475,6996
107,111.00,0.470,7062
108,273.00,0.465,7128
109,134.00,0.460,7194
110,244.00,0.455,7260
111,138.00,0.450,7326
112,285.00,0.445,7392
113,125.00,0.440,7458
114,237.00,0.435,7524
115,126.00,0.430,7590
116,301.00,0.425,7656
117,113.00,0.420,7722
118,288.00,0.415,7788
119,104.00,0.410,7854
120,273.00,0.405,7920
121,105.00,0.400,7986
122,250.00,0.395,8052
123,96.00,0.390,8118
124,248.00,0.385,8184
125,123.00,0.380,8250
126,263.00,0.375,8316
127,113.00,0.370,8382
128,265.00,0.365,8448
129,108.00,0.360,8514
130,222.00,0.355,8580
131,109.00,0.350,8646
132,254.00,0.345,8712
133,111.00,0.340,8778
134,252.00,0.335,8844
135,117.00,0.330,8910
136,268.00,0.325,8976
137,144.00,0.320,9042
138,255.00,0.315,9108
139,115.00,0.310,9174
140,236.00,0.305,9240
141,109.00,0.300,9306
142,233.00,0.295,9372
143,120.00,0.290,9438
144,253.00,0.285,9504
145,126.00,0.280,9570
146,297.00,0.275,9636
147,143.00,0.270,9702
148,241.00,0.265,9768
149,141.00,0.260,9834
150,283.00,0.255,9900
151,139.00,0.250,9966
152,278.00,0.245,10000
153,123.00,0.240,10000
154,287.00,0.235,10000
155,114.00,0.230,10000
156,282.00,0.225,10000
157,135.00,0.220,10000
158,263.00,0.215,10000
159,115.00,0.210,10000
160,256.00,0.205,10000
161,133.00,0.200,10000
162,241.00,0.195,10000
163,125.00,0.190,10000
164,242.00,0.185,10000
165,113.00,0.180,10000
166,294.00,0.175,10000
167,121.00,0.170,10000
168,264.00,0.165,10000
169,146.00,0.160,10000
170,270.00,0.155,10000
171,137.00,0.150,10000
172,290.00,0.145,10000
173,129.00,0.140,10000
174,296.00,0.135,10000
175,109.00,0.130,10000
176,255.00,0.125,10000
177,155.00,0.120,10000
178,271.00,0.115,10000
179,126.00,0.110,10000
180,324.00,0.105,10000
181,118.00,0.100,10000
182,262.00,0.095,10000
183,123.00,0.090,10000
184,281.00,0.085,10000
185,162.00,0.080,10000
186,248.00,0.075,10000
187,168.00,0.070,10000
188,252.00,0.065,10000
189,140.00,0.060,10000
190,276.00,0.055,10000
191,152.00,0.050,10000
192,207.00,0.050,10000
193,160.00,0.050,10000
194,241.00,0.050,10000
195,136.00,0.050,10000
196,248.00,0.050,10000
197,135.00,0.050,10000
198,245.00,0.050,10000
199,151.00,0.050,10000
200,277.00,0.050,10000
201,161.00,0.050,10000
202,281.00,0.050,10000
203,152.00,0.050,10000
204,238.00,0.050,10000
205,127.00,0.050,10000
206,300.00,0.050,10000
207,134.00,0.050,10000
208,233.00,0.050,10000
209,156.00,0.050,10000
210,252.00,0.050,10000
211,118.00,0.050,10000
212,239.00,0.050,10000
213,145.00,0.050,10000
214,251.00,0.050,10000
215,164.00,0.050,10000
216,202.00,0.050,10000
217,134.00,0.050,10000
218,270.00,0.050,10000
219,116.00,0.050,10000
220,254.00,0.050,10000
221,142.00,0.050,10000
222,229.00,0.050,10000
223,139.00,0.050,10000
224,235.00,0.050,10000
225,156.00,0.050,10000
226,251.00,0.050,10000
227,100.00,0.050,10000
228,256.00,0.050,10000
229,100.00,0.050,10000
230,246.00,0.050,10000
231,135.00,0.050,10000
232,256.00,0.050,10000
233,153.00,0.050,10000
234,270.00,0.050,10000
235,141.00,0.050,10000
236,112.00,0.050,10000
237,133.00,0.050,10000
238,291.00,0.050,10000
239,128.00,0.050,10000
240,262.00,0.050,10000
241,130.00,0.050,10000
242,278.00,0.050,10000
243,147.00,0.050,10000
244,305.00,0.050,10000
245,133.00,0.050,10000
246,270.00,0.050,10000
247,164.00,0.050,10000
248,290.00,0.050,10000
249,148.00,0.050,10000
250,267.00,0.050,10000
251,148.00,0.050,10000
252,249.00,0.050,10000
253,139.00,0.050,10000
254,296.00,0.050,10000
255,123.00,0.050,10000
256,238.00,0.050,10000
257,129.00,0.050,10000
258,251.00,0.050,10000
259,165.00,0.050,10000
260,297.00,0.050,10000
261,125.00,0.050,10000
262,307.00,0.050,10000
263,109.00,0.050,10000
264,318.00,0.050,10000
265,122.00,0.050,10000
266,271.00,0.050,10000
267,135.00,0.050,10000
268,294.00,0.050,10000
269,136.00,0.050,10000
270,262.00,0.050,10000
271,135.00,0.050,10000
272,281.00,0.050,10000
273,145.00,0.050,10000
274,295.00,0.050,10000
275,139.00,0.050,10000
276,284.00,0.050,10000
277,158.00,0.050,10000
278,266.00,0.050,10000
279,142.00,0.050,10000
280,283.00,0.050,10000
281,119.00,0.050,10000
282,331.00,0.050,10000
283,120.00,0.050,10000
284,293.00,0.050,10000
285,139.00,0.050,10000
286,288.00,0.050,10000
287,140.00,0.050,10000
288,257.00,0.050,10000
289,159.00,0.050,10000
290,263.00,0.050,10000
291,123.00,0.050,10000
292,304.00,0.050,10000
293,123.00,0.050,10000
294,255.00,0.050,10000
295,136.00,0.050,10000
296,258.00,0.050,10000
297,134.00,0.050,10000
298,269.00,0.050,10000
299,126.00,0.050,10000
300,286.00,0.050,10000
301,122.00,0.050,10000
302,299.00,0.050,10000
303,161.00,0.050,10000
304,269.00,0.050,10000
305,151.00,0.050,10000
306,325.00,0.050,10000
307,152.00,0.050,10000
308,336.00,0.050,10000
309,140.00,0.050,10000
310,281.00,0.050,10000
311,147.00,0.050,10000
312,301.00,0.050,10000
313,138.00,0.050,10000
314,280.00,0.050,10000
315,130.00,0.050,10000
316,259.00,0.050,10000
317,124.00,0.050,10000
318,328.00,0.050,10000
319,135.00,0.050,10000
320,279.00,0.050,10000
321,142.00,0.050,10000
322,315.00,0.050,10000
323,143.00,0.050,10000
324,302.00,0.050,10000
325,132.00,0.050,10000
326,280.00,0.050,10000
327,145.00,0.050,10000
328,293.00,0.050,10000
329,138.00,0.050,10000
330,322.00,0.050,10000
331,142.00,0.050,10000
332,261.00,0.050,10000
333,139.00,0.050,10000
334,318.00,0.050,10000
335,149.00,0.050,10000
336,289.00,0.050,10000
337,147.00,0.050,10000
338,271.00,0.050,10000
339,178.00,0.050,10000
340,335.00,0.050,10000
341,121.00,0.050,10000
342,296.00,0.050,10000
343,107.00,0.050,10000
344,338.00,0.050,10000
345,129.00,0.050,10000
346,302.00,0.050,10000
347,158.00,0.050,10000
348,302.00,0.050,10000
349,137.00,0.050,10000
350,297.00,0.050,10000
351,123.00,0.050,10000
352,288.00,0.050,10000
353,129.00,0.050,10000
354,307.00,0.050,10000
355,146.00,0.050,10000
356,303.00,0.050,10000
357,128.00,0.050,10000
358,281.00,0.050,10000
359,152.00,0.050,10000
360,311.00,0.050,10000
361,142.00,0.050,10000
362,297.00,0.050,10000
363,152.00,0.050,10000
364,276.00,0.050,10000
365,148.00,0.050,10000
366,305.00,0.050,10000
367,147.00,0.050,10000
368,317.00,0.050,10000
369,134.00,0.050,10000
370,311.00,0.050,10000
371,124.00,0.050,10000
372,260.00,0.050,10000
373,163.00,0.050,10000
374,308.00,0.050,10000
375,156.00,0.050,10000
376,318.00,0.050,10000
377,153.00,0.050,10000
378,315.00,0.050,10000
379,115.00,0.050,10000
380,302.00,0.050,10000
381,128.00,0.050,10000
382,326.00,0.050,10000
383,138.00,0.050,10000
384,311.00,0.050,10000
385,154.00,0.050,10000
386,240.00,0.050,10000
387,158.00,0.050,10000
388,300.00,0.050,10000
389,141.00,0.050,10000
390,313.00,0.050,10000
391,139.00,0.050,10000
392,347.00,0.050,10000
393,151.00,0.050,10000
394,279.00,0.050,10000
395,133.00,0.050,10000
396,346.00,0.050,10000
397,146.00,0.050,10000
398,303.00,0.050,10000
399,143.00,0.050,10000
400,300.00,0.050,10000
401,121.00,0.050,10000
402,250.00,0.050,10000
403,136.00,0.050,10000
404,297.00,0.050,10000
405,138.00,0.050,10000
406,338.00,0.050,10000
407,132.00,0.050,10000
408,302.00,0.050,10000
409,123.00,0.050,10000
410,281.00,0.050,10000
411,129.00,0.050,10000
412,266.00,0.050,10000
413,152.00,0.050,10000
414,326.00,0.050,10000
415,129.00,0.050,10000
416,211.00,0.050,10000
417,145.00,0.050,10000
418,290.00,0.050,10000
419,146.00,0.050,10000
420,320.00,0.050,10000
421,141.00,0.050,10000
422,330.00,0.050,10000
423,128.00,0.050,10000
424,306.00,0.050,10000
425,131.00,0.050,10000
426,321.00,0.050,10000
427,125.00,0.050,10000
428,329.00,0.050,10000
429,103.00,0.050,10000
430,265.00,0.050,10000
431,138.00,0.050,10000
432,334.00,0.050,10000
433,119.00,0.050,10000
434,325.00,0.050,10000
435,145.00,0.050,10000
436,279.00,0.050,10000
437,110.00,0.050,10000
438,288.00,0.050,10000
439,128.00,0.050,10000
440,310.00,0.050,10000
441,115.00,0.050,10000
442,300.00,0.050,10000
443,136.00,0.050,10000
444,310.00,0.050,10000
445,136.00,0.050,10000
446,287.00,0.050,10000
447,143.00,0.050,10000
448,283.00,0.050,10000
449,133.00,0.050,10000
450,341.00,0.050,10000
451,127.00,0.050,10000
452,318.00,0.050,10000
453,136.00,0.050,10000
454,309.00,0.050,10000
455,140.00,0.050,10000
456,310.00,0.050,10000
457,127.00,0.050,10000
458,316.00,0.050,10000
459,132.00,0.050,10000
460,301.00,0.050,10000
461,158.00,0.050,10000
462,306.00,0.050,10000
463,145.00,0.050,10000
464,307.00,0.050,10000
465,127.00,0.050,10000
466,310.00,0.050,10000
467,90.00,0.050,10000
468,301.00,0.050,10000
469,161.00,0.050,10000
470,332.00,0.050,10000
471,138.00,0.050,10000
472,292.00,0.050,10000
473,132.00,0.050,10000
474,314.00,0.050,10000
475,140.00,0.050,10000
476,289.00,0.050,10000
477,115.00,0.050,10000
478,292.00,0.050,10000
479,141.00,0.050,10000
480,283.00,0.050,10000
481,139.00,0.050,10000
482,342.00,0.050,10000
483,110.00,0.050,10000
484,313.00,0.050,10000
485,121.00,0.050,10000
486,324.00,0.050,10000
487,90.00,0.050,10000
488,329.00,0.050,10000
489,133.00,0.050,10000
490,312.00,0.050,10000
491,148.00,0.050,10000
492,358.00,0.050,10000
493,118.00,0.050,10000
494,313.00,0.050,10000
495,144.00,0.050,10000
496,304.00,0.050,10000
497,150.00,0.050,10000
498,288.00,0.050,10000
499,152.00,0.050,10000
500,296.00,0.050,10000
